sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s
balanza,70,,Error desde Arduino: HX711 not found.,36.02528960000018,2026-05-28T12:41:57.953,2026-05-28T12:57:27.953,-930
balanza,71,-0.36,,37.01755349999985,2026-05-28T12:41:58.943,2026-05-28T12:57:28.943,-930
balanza,72,,Error desde Arduino: HX711 not found.,37.040722200001255,2026-05-28T12:41:58.973,2026-05-28T12:57:28.973,-930
balanza,73,-0.36,,38.032934200000454,2026-05-28T12:41:59.965,2026-05-28T12:57:29.965,-930
balanza,74,,Error desde Arduino: HX711 not found.,38.05625289999989,2026-05-28T12:41:59.986,2026-05-28T12:57:29.986,-930
balanza,75,-0.37,,39.048364300000685,2026-05-28T12:42:00.976,2026-05-28T12:57:30.976,-930
balanza,76,,Error desde Arduino: HX711 not found.,39.07139140000072,2026-05-28T12:42:01.003,2026-05-28T12:57:31.003,-930
balanza,77,-0.38,,40.063676400000986,2026-05-28T12:42:01.993,2026-05-28T12:57:31.993,-930
balanza,78,,Error desde Arduino: HX711 not found.,40.086966500000926,2026-05-28T12:42:02.019,2026-05-28T12:57:32.019,-930
balanza,79,-0.45,,41.07904490000146,2026-05-28T12:42:03.010,2026-05-28T12:57:33.010,-930
balanza,80,,Error desde Arduino: HX711 not found.,41.102165700000114,2026-05-28T12:42:03.030,2026-05-28T12:57:33.030,-930
balanza,81,-0.51,,42.09452179999971,2026-05-28T12:42:04.026,2026-05-28T12:57:34.026,-930
balanza,82,,Error desde Arduino: HX711 not found.,42.11766929999976,2026-05-28T12:42:04.050,2026-05-28T12:57:34.050,-930
balanza,83,-0.48,,43.11004030000004,2026-05-28T12:42:05.040,2026-05-28T12:57:35.040,-930
balanza,84,,Error desde Arduino: HX711 not found.,43.13311729999987,2026-05-28T12:42:05.065,2026-05-28T12:57:35.065,-930
balanza,85,-0.48,,44.12544420000086,2026-05-28T12:42:06.053,2026-05-28T12:57:36.053,-930
balanza,86,,Error desde Arduino: HX711 not found.,44.1486029000007,2026-05-28T12:42:06.076,2026-05-28T12:57:36.076,-930
balanza,87,-0.48,,45.140709200000856,2026-05-28T12:42:07.072,2026-05-28T12:57:37.072,-930
balanza,88,,Error desde Arduino: HX711 not found.,45.16390020000108,2026-05-28T12:42:07.093,2026-05-28T12:57:37.093,-930
balanza,89,-0.53,,46.15603250000095,2026-05-28T12:42:08.088,2026-05-28T12:57:38.088,-930
balanza,90,-0.56,,46.16808289999972,2026-05-28T12:42:08.093,2026-05-28T12:57:38.093,-930
balanza,91,,Error desde Arduino: HX711 not found.,46.191086599999835,2026-05-28T12:42:08.120,2026-05-28T12:57:38.120,-930
balanza,92,-0.49,,47.18348930000138,2026-05-28T12:42:09.110,2026-05-28T12:57:39.110,-930
balanza,93,,Error desde Arduino: HX711 not found.,47.2065687000013,2026-05-28T12:42:09.138,2026-05-28T12:57:39.138,-930
balanza,94,-0.49,,48.19889890000013,2026-05-28T12:42:10.127,2026-05-28T12:57:40.127,-930
balanza,95,,Error desde Arduino: HX711 not found.,48.22200510000039,2026-05-28T12:42:10.153,2026-05-28T12:57:40.153,-930
balanza,96,-0.55,,49.21435030000066,2026-05-28T12:42:11.143,2026-05-28T12:57:41.143,-930
balanza,97,,Error desde Arduino: HX711 not found.,49.23752450000029,2026-05-28T12:42:11.170,2026-05-28T12:57:41.170,-930
balanza,98,-0.57,,50.229919000001246,2026-05-28T12:42:12.162,2026-05-28T12:57:42.162,-930
balanza,99,,Error desde Arduino: HX711 not found.,50.25295410000035,2026-05-28T12:42:12.184,2026-05-28T12:57:42.184,-930
balanza,100,-0.58,,51.24537750000127,2026-05-28T12:42:13.176,2026-05-28T12:57:43.176,-930
balanza,101,,Error desde Arduino: HX711 not found.,51.268674400000236,2026-05-28T12:42:13.193,2026-05-28T12:57:43.193,-930
balanza,102,-0.58,,52.26081890000023,2026-05-28T12:42:14.193,2026-05-28T12:57:44.193,-930
balanza,103,,Error desde Arduino: HX711 not found.,52.284177000001364,2026-05-28T12:42:14.210,2026-05-28T12:57:44.210,-930
balanza,104,-0.62,,53.27620999999999,2026-05-28T12:42:15.203,2026-05-28T12:57:45.203,-930
balanza,105,,Error desde Arduino: HX711 not found.,53.29940370000077,2026-05-28T12:42:15.226,2026-05-28T12:57:45.226,-930
balanza,106,-0.61,,54.2915963000014,2026-05-28T12:42:16.220,2026-05-28T12:57:46.220,-930
balanza,107,,Error desde Arduino: HX711 not found.,54.314651599999706,2026-05-28T12:42:16.243,2026-05-28T12:57:46.243,-930
balanza,108,-0.57,,55.30704770000011,2026-05-28T12:42:17.236,2026-05-28T12:57:47.236,-930
balanza,109,,Error desde Arduino: HX711 not found.,55.33024780000051,2026-05-28T12:42:17.262,2026-05-28T12:57:47.262,-930
balanza,110,-0.67,,56.32240190000084,2026-05-28T12:42:18.253,2026-05-28T12:57:48.253,-930
balanza,111,,Error desde Arduino: HX711 not found.,56.34555879999971,2026-05-28T12:42:18.276,2026-05-28T12:57:48.276,-930
