ind_hp,error_hp,voltaje_V,t_hp,fecha_hora_corregida_hp,fecha_hora_pc_hp,sensor_hp,tiempo_s,ind_bal,error_bal,t_bal,fecha_hora_corregida_bal,fecha_hora_pc_bal,masa_g,sensor_bal,delta_t_s
42,,8.9946e-05,10.714893500000017,2026-05-28T08:37:10.859,2026-05-28T08:52:40.859,multimetro,10.714893500000017,17.0,,10.97827889999985,2026-05-28T08:37:11.114,2026-05-28T08:52:41.114,0.0,balanza,0.2633853999998337
43,,8.9056e-05,10.964723699999922,2026-05-28T08:37:11.108,2026-05-28T08:52:41.108,multimetro,10.964723699999922,17.0,,10.97827889999985,2026-05-28T08:37:11.114,2026-05-28T08:52:41.114,0.0,balanza,0.013555199999927936
44,,8.9223e-05,11.214752399999952,2026-05-28T08:37:11.359,2026-05-28T08:52:41.359,multimetro,11.214752399999952,18.0,Error Arduino: HX711 not found.,11.001444099999844,2026-05-28T08:37:11.145,2026-05-28T08:52:41.145,,balanza,-0.21330830000010792
45,,8.938e-05,11.464929699999857,2026-05-28T08:37:11.609,2026-05-28T08:52:41.609,multimetro,11.464929699999857,18.0,Error Arduino: HX711 not found.,11.001444099999844,2026-05-28T08:37:11.145,2026-05-28T08:52:41.145,,balanza,-0.4634856000000127
46,,8.9663e-05,11.715109499999926,2026-05-28T08:37:11.859,2026-05-28T08:52:41.859,multimetro,11.715109499999926,19.0,,11.99381429999994,2026-05-28T08:37:12.131,2026-05-28T08:52:42.131,-0.02,balanza,0.2787048000000141
47,,8.9286e-05,11.964826299999913,2026-05-28T08:37:12.109,2026-05-28T08:52:42.109,multimetro,11.964826299999913,19.0,,11.99381429999994,2026-05-28T08:37:12.131,2026-05-28T08:52:42.131,-0.02,balanza,0.02898800000002666
48,,8.8867e-05,12.214723499999991,2026-05-28T08:37:12.359,2026-05-28T08:52:42.359,multimetro,12.214723499999991,20.0,Error Arduino: HX711 not found.,12.016899599999988,2026-05-28T08:37:12.161,2026-05-28T08:52:42.161,,balanza,-0.19782390000000305
49,,8.9255e-05,12.464875799999845,2026-05-28T08:37:12.609,2026-05-28T08:52:42.609,multimetro,12.464875799999845,20.0,Error Arduino: HX711 not found.,12.016899599999988,2026-05-28T08:37:12.161,2026-05-28T08:52:42.161,,balanza,-0.44797619999985727
50,,8.9569e-05,12.714626199999884,2026-05-28T08:37:12.859,2026-05-28T08:52:42.859,multimetro,12.714626199999884,21.0,,13.009459200000038,2026-05-28T08:37:13.153,2026-05-28T08:52:43.153,-0.01,balanza,0.29483300000015333
51,,8.9548e-05,12.965103499999941,2026-05-28T08:37:13.109,2026-05-28T08:52:43.109,multimetro,12.965103499999941,21.0,,13.009459200000038,2026-05-28T08:37:13.153,2026-05-28T08:52:43.153,-0.01,balanza,0.044355700000096476
52,,8.9014e-05,13.214502999999922,2026-05-28T08:37:13.358,2026-05-28T08:52:43.358,multimetro,13.214502999999922,23.0,Error Arduino: HX711 not found.,13.044646199999988,2026-05-28T08:37:13.189,2026-05-28T08:52:43.189,,balanza,-0.16985679999993408
53,,8.9119e-05,13.465048600000046,2026-05-28T08:37:13.609,2026-05-28T08:52:43.609,multimetro,13.465048600000046,23.0,Error Arduino: HX711 not found.,13.044646199999988,2026-05-28T08:37:13.189,2026-05-28T08:52:43.189,,balanza,-0.42040240000005724
54,,8.9653e-05,13.715149399999973,2026-05-28T08:37:13.859,2026-05-28T08:52:43.859,multimetro,13.715149399999973,24.0,,14.037194900000031,2026-05-28T08:37:14.181,2026-05-28T08:52:44.181,46.49,balanza,0.3220455000000584
55,,8.9548e-05,13.964594999999917,2026-05-28T08:37:14.108,2026-05-28T08:52:44.108,multimetro,13.964594999999917,24.0,,14.037194900000031,2026-05-28T08:37:14.181,2026-05-28T08:52:44.181,46.49,balanza,0.07259990000011385
