t,V,T,W
70.79039829999965,-0.004373404,-128.61160066833096,-24.02
71.00552750000134,-0.004378795,-128.81339852511087,-24.02
71.22061770000073,-0.004389045,-129.19766080468708,-24.02
71.4359002000001,-0.004397296,-129.5075384922102,-24.17
71.65087180000046,-0.004403462,-129.73943675704203,-24.17
71.86592530000053,-0.004408823,-129.9412870527645,-22.79
72.08107399999972,-0.004419554,-130.3459654212131,-22.79
72.29610230000071,-0.004424873,-130.5468685241482,-26.09
72.51116170000023,-0.004433709,-130.88107961706115,-26.09
72.72612110000046,-0.004439311,-131.09327260054522,-26.09
72.94126890000007,-0.004440169,-131.12579290425464,-22.68
73.15631899999971,-0.004446954,-131.3831573495999,-22.68
73.37152930000047,-0.004449644,-131.48528950383505,-26.36
73.58648429999994,-0.004451749,-131.56524917715143,-26.36
73.80166190000091,-0.004457884,-131.79848370807463,-23.79
74.01675700000123,-0.004467317,-132.1576613058428,-23.79
74.23205330000019,-0.004471736,-132.32615807040858,-23.79
74.44707110000127,-0.004478792,-132.5955173359491,-23.63
74.66213550000066,-0.004485357,-132.84648074316212,-23.63
74.8771783000011,-0.004487974,-132.9466159071445,-24.24
75.09248240000124,-0.004491502,-133.08169391852562,-24.24
75.30783730000076,-0.004498266,-133.34094367111396,-24.99
75.52275250000093,-0.00450193,-133.4815277382594,-24.99
75.73785830000088,-0.00450816,-133.72081089727428,-24.99
75.95293980000133,-0.004511583,-133.85241355911472,-25.49
76.1680765000001,-0.004516002,-134.0224472788843,-25.49
76.38316529999975,-0.004521603,-134.2381865334547,-24.03
76.59860260000096,-0.004525498,-134.38836271397048,-24.03
76.81386019999991,-0.004530387,-134.57703690192565,-25.83
77.02891170000112,-0.004536857,-134.8270219466016,-25.83
77.24403280000115,-0.004540103,-134.9525676742602,-25.83
77.4589990000004,-0.004548406,-135.27409489813206,-27.67
77.67414699999972,-0.004552269,-135.42387929012966,-27.67
77.88919499999975,-0.004555598,-135.55305688853062,-23.98
78.10446290000073,-0.004561598,-135.78611051820954,-23.98
78.31941850000112,-0.004565367,-135.93265970980457,-27.91
78.53466099999969,-0.004570465,-136.13107229820218,-27.91
78.74976600000082,-0.004578422,-136.4411906956842,-27.91
78.96509549999973,-0.00458216,-136.58706022563624,-25.43
79.18029620000016,-0.004589175,-136.86112798936497,-25.43
79.39537940000082,-0.00459486,-137.0835404431382,-28.64
79.61046180000085,-0.004598221,-137.21516130000518,-28.64
79.82555930000126,-0.004601267,-137.33452978622816,-25.99
80.04073770000105,-0.004607151,-137.5653408739848,-25.99
80.25609460000123,-0.004612522,-137.77628884301762,-25.99
80.47123450000072,-0.004619192,-138.03860303959428,-29.58
80.68627040000138,-0.004621715,-138.1379270091613,-29.58
80.90149089999977,-0.004627756,-138.37597126024184,-26.29
81.11654070000077,-0.004632834,-138.5763160275363,-26.29
81.33166130000063,-0.004638079,-138.78348778575634,-26.27
81.54670460000125,-0.004642487,-138.9577869860585,-26.27
81.76183690000107,-0.004646204,-139.1048969298727,-26.27
81.97706149999976,-0.004651261,-139.30523841608704,-26.7
82.19212630000038,-0.004655291,-139.46505723680602,-26.7
82.40732110000135,-0.004657951,-139.57062538376692,-28.72
82.62253770000098,-0.004661406,-139.70783992457734,-28.72
82.83778379999967,-0.004666065,-139.89304158698752,-29.01
83.05280680000033,-0.004672043,-140.13096334419117,-29.01
83.26792000000023,-0.004677016,-140.32913434991025,-29.0
83.48294139999962,-0.004681403,-140.50414129854826,-29.0
83.69807730000139,-0.004686701,-140.71572555404467,-29.0
83.91310110000086,-0.004690941,-140.88524326271454,-29.6
