t,V,T,W
47.247345399999176,-0.004151874,-120.49185283580505,-13.68
47.77228130000003,-0.004156732,-120.66646987849963,-15.12
48.29708489999939,-0.004165024,-120.96486045393516,-10.0
48.8219067,-0.004176802,-121.38943920412918,-15.87
49.34685209999952,-0.004201877,-122.29628728200048,-10.36
49.87159410000004,-0.004213604,-122.72178307101893,-11.72
50.39638999999988,-0.004234177,-123.4703988312374,-14.78
50.9213194999993,-0.004256488,-124.28539926433255,-12.73
51.4461625999993,-0.00427371,-124.91676809296257,-14.03
51.971044699999766,-0.004279134,-125.1160278164311,-11.5
52.49540579999939,-0.004292033,-125.59069438220111,-14.57
53.019912899999326,-0.004310805,-126.28350925695369,-11.64
53.54422410000007,-0.004324175,-126.778435237558,-18.13
54.06856629999948,-0.00433186,-127.06347881199049,-12.35
54.59293689999959,-0.004343732,-127.50463579957176,-18.58
55.1171746,-0.004353207,-127.85743524123512,-12.56
55.641559400000006,-0.004361112,-128.1522641140302,-13.94
56.165959199999634,-0.004386417,-129.09906694478246,-16.34
56.690221399999245,-0.004392961,-129.34466955784495,-15.77
57.21457909999936,-0.004398008,-129.5343019806104,-15.8
57.73896530000002,-0.004400792,-129.6389859325573,-14.03
58.26338809999925,-0.004418612,-130.31040727459208,-14.45
58.787691300000006,-0.004426757,-130.61807947472278,-20.6
59.31213359999947,-0.004443467,-131.2508470326563,-14.9
59.8366103999997,-0.00445133,-131.54933052213934,-19.79
60.36108849999982,-0.004456,-131.72682899622865,-15.68
60.885640699999385,-0.004469254,-132.23150067364156,-18.64
61.410188599999856,-0.004480771,-132.67113413761246,-15.25
61.93463389999943,-0.00448878,-132.97746696262854,-20.53
62.45914459999949,-0.004500978,-133.44499022715382,-16.22
62.98365529999956,-0.004511583,-133.85241355911472,-16.72
63.5081468999997,-0.004523906,-134.3269665710225,-16.32
64.03262269999959,-0.004544762,-135.1329143495047,-17.91
64.55686889999924,-0.004551023,-135.37555333747918,-20.45
65.08125500000006,-0.004565189,-135.92573591804182,-19.19
65.60561489999964,-0.004581857,-136.5752317446555,-19.43
66.12995409999985,-0.00461358,-137.81787156302843,-18.25
66.65439040000001,-0.004639356,-138.833964658217,-23.61
67.17865489999986,-0.004651815,-139.32719992723946,-18.25
67.70317840000007,-0.004662044,-139.73318971612187,-23.5
68.22751849999986,-0.004676838,-140.3220372629426,-18.53
68.7517973999993,-0.004693443,-140.98535273239298,-22.14
69.27617069999997,-0.00470341,-141.3847278702319,-24.03
69.80042679999951,-0.00471966,-142.03785880049008,-18.88
70.3247953,-0.004729491,-142.43420833390167,-24.87
70.84924179999962,-0.004741552,-142.92172937997188,-19.56
71.37348259999999,-0.004742714,-142.96877310969194,-22.88
71.89784079999936,-0.004751111,-143.30911703786572,-19.58
72.42234189999999,-0.004762355,-143.76593508059608,-24.87
72.94677509999929,-0.004768532,-144.01742329256243,-20.45
73.4712185999997,-0.004777819,-144.39624533075784,-20.96
73.99568069999987,-0.004794791,-145.0907827057873,-20.16
74.51987719999943,-0.00480882,-145.6670991300818,-21.92
75.0442766999995,-0.004824378,-146.3086063560167,-24.53
75.56868419999955,-0.004846249,-147.21472175599467,-21.12
76.09292049999931,-0.004847862,-147.28175001279493,-22.81
76.61732529999972,-0.004852186,-147.46157189497407,-22.28
77.1415723,-0.004869147,-148.16888278229925,-27.9
77.66595009999946,-0.004896159,-149.30188111215506,-22.41
78.19037159999971,-0.004897499,-149.35829882606137,-27.79
78.71455239999977,-0.004892756,-149.15869635553972,-21.92
